2023-11-13 16:52:15,359 INFO    StreamThr :22444 [internal.py:wandb_internal():86] W&B internal server running at pid: 22444, started at: 2023-11-13 16:52:15.357429
2023-11-13 16:52:15,363 DEBUG   HandlerThread:22444 [handler.py:handle_request():146] handle_request: status
2023-11-13 16:52:15,367 INFO    WriterThread:22444 [datastore.py:open_for_write():85] open: /work3/s204148/DL02456_DDPM/wandb/run-20231113_165215-rcwstz9q/run-rcwstz9q.wandb
2023-11-13 16:52:15,376 DEBUG   SenderThread:22444 [sender.py:send():380] send: header
2023-11-13 16:52:15,410 DEBUG   SenderThread:22444 [sender.py:send():380] send: run
2023-11-13 16:52:15,977 INFO    SenderThread:22444 [dir_watcher.py:__init__():211] watching files in: /work3/s204148/DL02456_DDPM/wandb/run-20231113_165215-rcwstz9q/files
2023-11-13 16:52:15,978 INFO    SenderThread:22444 [sender.py:_start_run_threads():1124] run started: rcwstz9q with start time 1699890735.356136
2023-11-13 16:52:16,017 DEBUG   HandlerThread:22444 [handler.py:handle_request():146] handle_request: check_version
2023-11-13 16:52:16,018 DEBUG   SenderThread:22444 [sender.py:send_request():407] send_request: check_version
2023-11-13 16:52:16,142 DEBUG   HandlerThread:22444 [handler.py:handle_request():146] handle_request: run_start
2023-11-13 16:52:16,162 DEBUG   HandlerThread:22444 [system_info.py:__init__():32] System info init
2023-11-13 16:52:16,163 DEBUG   HandlerThread:22444 [system_info.py:__init__():47] System info init done
2023-11-13 16:52:16,164 INFO    HandlerThread:22444 [system_monitor.py:start():194] Starting system monitor
2023-11-13 16:52:16,165 INFO    SystemMonitor:22444 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-13 16:52:16,165 INFO    HandlerThread:22444 [system_monitor.py:probe():214] Collecting system info
2023-11-13 16:52:16,167 INFO    SystemMonitor:22444 [interfaces.py:start():190] Started cpu monitoring
2023-11-13 16:52:16,170 INFO    SystemMonitor:22444 [interfaces.py:start():190] Started disk monitoring
2023-11-13 16:52:16,175 INFO    SystemMonitor:22444 [interfaces.py:start():190] Started gpu monitoring
2023-11-13 16:52:16,178 INFO    SystemMonitor:22444 [interfaces.py:start():190] Started memory monitoring
2023-11-13 16:52:16,180 INFO    SystemMonitor:22444 [interfaces.py:start():190] Started network monitoring
2023-11-13 16:52:16,207 DEBUG   HandlerThread:22444 [system_info.py:probe():196] Probing system
2023-11-13 16:52:16,219 DEBUG   HandlerThread:22444 [system_info.py:_probe_git():181] Probing git
2023-11-13 16:52:16,269 DEBUG   HandlerThread:22444 [system_info.py:_probe_git():189] Probing git done
2023-11-13 16:52:16,270 DEBUG   HandlerThread:22444 [system_info.py:probe():244] Probing system done
